time_window_,date,weekday,tollgate_id_1,tollgate_id_2,tollgate_id_3,direction_0,direction_1,vehicle_model0,vehicle_model1,vehicle_model2,vehicle_model3,vehicle_model4,vehicle_model5,vehicle_model6,has_etc,no_etc,vehicle_type0,vehicle_type1,vehicle_type2,temperature,rel_humidity,precipitation,wind_speed,wind_direction_1,wind_direction_2,wind_direction_3,wind_direction_4,wind_direction_5,wind_direction_6,wind_direction_7,wind_direction_8,wind_direction_9,wind_direction_10,wind_direction_11,wind_direction_12,wind_direction_13,wind_direction_14,wind_direction_15,wind_direction_16,wind_direction_17,volumes
66,28,2,1,0,0,1,0,0,6,1,0,0,0,0,1,6,0,0,7,21.5,95.0,0.5,4.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
66,28,2,1,0,0,0,1,0,7,0,0,0,0,0,3,4,6,1,0,21.5,95.0,0.5,4.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
66,28,2,0,1,0,1,0,0,15,3,0,0,0,0,2,16,0,0,18,21.5,95.0,0.5,4.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
66,28,2,0,0,1,1,0,0,15,3,0,0,0,0,4,14,0,0,18,21.5,95.0,0.5,4.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
66,28,2,0,0,1,0,1,0,13,1,0,0,2,0,2,14,12,4,0,21.5,95.0,0.5,4.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
27,22,3,1,0,0,1,0,0,38,4,0,1,0,0,13,30,0,0,43,26.8,57.0,0.0,2.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43
27,22,3,1,0,0,0,1,0,106,8,3,3,2,0,24,99,91,32,0,26.8,57.0,0.0,2.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,123
27,22,3,0,1,0,1,0,0,83,10,1,0,0,0,28,68,0,0,96,26.8,57.0,0.0,2.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,96
27,22,3,0,0,1,1,0,0,132,16,2,1,0,0,49,102,0,0,151,26.8,57.0,0.0,2.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,151
27,22,3,0,0,1,0,1,0,107,2,4,1,1,0,30,86,102,14,0,26.8,57.0,0.0,2.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,116
22,13,3,1,0,0,1,0,0,38,2,0,4,0,0,14,30,0,0,44,21.6,63.0,0.0,2.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
22,13,3,1,0,0,0,1,0,77,11,3,2,1,0,26,69,74,21,0,21.6,63.0,0.0,2.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
22,13,3,0,1,0,1,0,0,104,2,1,0,0,0,38,69,0,0,107,21.6,63.0,0.0,2.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
22,13,3,0,0,1,1,0,0,119,12,1,2,0,0,53,81,0,0,134,21.6,63.0,0.0,2.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134
22,13,3,0,0,1,0,1,0,62,5,1,1,2,0,25,46,62,9,0,21.6,63.0,0.0,2.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
13,26,0,1,0,0,1,0,0,7,5,0,0,1,0,0,13,0,0,13,28.5,57.0,0.0,1.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13
13,26,0,1,0,0,0,1,0,17,3,0,0,1,0,1,20,6,15,0,28.5,57.0,0.0,1.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21
13,26,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5,57.0,0.0,1.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,26,0,0,0,1,1,0,0,12,3,0,0,1,0,3,13,0,0,16,28.5,57.0,0.0,1.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16
13,26,0,0,0,1,0,1,0,1,0,1,1,2,0,0,5,0,5,0,28.5,57.0,0.0,1.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
49,26,0,1,0,0,1,0,0,53,2,0,1,0,0,16,40,0,0,56,25.4,86.0,0.0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,56
49,26,0,1,0,0,0,1,0,94,10,2,1,5,0,27,85,83,29,0,25.4,86.0,0.0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,112
49,26,0,0,1,0,1,0,0,64,11,0,0,0,0,21,54,0,0,75,25.4,86.0,0.0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,75
49,26,0,0,0,1,1,0,0,98,22,0,1,0,0,30,91,0,0,121,25.4,86.0,0.0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,121
49,26,0,0,0,1,0,1,0,80,6,0,1,2,0,15,74,81,8,0,25.4,86.0,0.0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,89
39,22,3,1,0,0,1,0,0,41,3,2,0,0,0,10,36,0,0,46,24.4,72.0,0.0,3.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46
39,22,3,1,0,0,0,1,0,84,9,1,0,2,0,14,82,71,25,0,24.4,72.0,0.0,3.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,96
39,22,3,0,1,0,1,0,0,48,9,2,0,0,0,23,36,0,0,59,24.4,72.0,0.0,3.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59
39,22,3,0,0,1,1,0,0,78,26,0,2,0,0,14,92,0,0,106,24.4,72.0,0.0,3.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,106
39,22,3,0,0,1,0,1,0,75,1,2,0,0,0,19,59,69,9,0,24.4,72.0,0.0,3.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,78
42,9,6,1,0,0,1,0,0,45,2,1,0,0,0,12,36,0,0,48,18.8,58.0,0.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
42,9,6,1,0,0,0,1,0,80,8,5,0,3,0,16,80,71,25,0,18.8,58.0,0.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
42,9,6,0,1,0,1,0,0,54,8,0,0,0,0,15,49,0,0,64,18.8,58.0,0.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
42,9,6,0,0,1,1,0,0,84,19,1,2,0,0,25,81,0,0,106,18.8,58.0,0.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
42,9,6,0,0,1,0,1,0,112,3,1,2,2,0,29,91,104,16,0,18.8,58.0,0.0,6.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
67,29,3,1,0,0,1,0,0,11,0,0,0,0,0,2,9,0,0,11,20.5,94.0,0.1,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
67,29,3,1,0,0,0,1,0,27,2,3,0,3,0,7,28,26,9,0,20.5,94.0,0.1,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35
67,29,3,0,1,0,1,0,0,15,7,0,0,0,0,3,19,0,0,22,20.5,94.0,0.1,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22
67,29,3,0,0,1,1,0,0,20,4,0,0,0,0,8,16,0,0,24,20.5,94.0,0.1,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24
67,29,3,0,0,1,0,1,0,21,1,0,1,1,0,4,20,19,5,0,20.5,94.0,0.1,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24
40,14,4,1,0,0,1,0,0,48,4,0,1,0,0,9,44,0,0,53,18.3,83.0,0.0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53
40,14,4,1,0,0,0,1,0,90,10,3,2,5,0,21,90,71,40,0,18.3,83.0,0.0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,111
